"LengthGroup","Year","Count"
"Length bin <7",1,0.0213755685271064
"Length bin 7-9",1,0.208324216041224
"Length bin 9-11",1,0.821897837417653
"Length bin 11-13",1,1.30623621301856
"Length bin 13-15",1,0.991588395624768
"Length bin 15-17",1,0.767117624236508
"Length bin 17-19",1,1.19862222723264
"Length bin 19-21",1,1.92970446184261
"Length bin 21-23",1,2.58682988844615
"Length bin 23-25",1,3.04352144958554
"Length bin 25-27",1,3.41189676518167
"Length bin 27-29",1,3.82944682788846
"Length bin 29-31",1,4.26640835601829
"Length bin 31-33",1,4.58297615142714
"Length bin 33-35",1,4.6934738946037
"Length bin 35-37",1,4.62107057883935
"Length bin 37-39",1,4.4372568267966
"Length bin 39-41",1,4.19528427148087
"Length bin 41-43",1,3.91506448754493
"Length bin 43-45",1,3.60188195586177
"Length bin 45-47",1,3.2636981729731
"Length bin 47-49",1,2.91380734997502
"Length bin >49",1,10.2071066625865
"Length bin <7",2,0.0267347888065864
"Length bin 7-9",2,0.260586685417507
"Length bin 9-11",2,1.03100668283663
"Length bin 11-13",2,1.66046928912351
"Length bin 13-15",2,1.35290352800988
"Length bin 15-17",2,1.26801198077205
"Length bin 17-19",2,2.10584260297635
"Length bin 19-21",2,3.28518850940666
"Length bin 21-23",2,4.13154021649564
"Length bin 23-25",2,4.40654933344991
"Length bin 25-27",2,4.40341497556881
"Length bin 27-29",2,4.5486938598968
"Length bin 29-31",2,4.96486600954905
"Length bin 31-33",2,5.48164954739049
"Length bin 33-35",2,5.9000499640944
"Length bin 35-37",2,6.1339111876735
"Length bin 37-39",2,6.17991018788204
"Length bin 39-41",2,6.05458594501429
"Length bin 41-43",2,5.77460858421892
"Length bin 43-45",2,5.36534604947075
"Length bin 45-47",2,4.86537833890669
"Length bin 47-49",2,4.31853755350589
"Length bin >49",2,14.4911768171514
"Length bin <7",3,0.0176164585273871
"Length bin 7-9",3,0.171692573984556
"Length bin 9-11",3,0.682019205067789
"Length bin 11-13",3,1.11915854406441
"Length bin 13-15",3,0.999986744032872
"Length bin 15-17",3,1.14446922717068
"Length bin 17-19",3,2.04178183348178
"Length bin 19-21",3,3.24847097347072
"Length bin 21-23",3,4.1954044818936
"Length bin 23-25",3,4.65737104939934
"Length bin 25-27",3,4.86434008016986
"Length bin 27-29",3,5.14098152917928
"Length bin 29-31",3,5.53449653011698
"Length bin 31-33",3,5.87291435344946
"Length bin 33-35",3,6.02996825549097
"Length bin 35-37",3,6.02578522601067
"Length bin 37-39",3,5.94142733023993
"Length bin 39-41",3,5.81999656055778
"Length bin 41-43",3,5.6479020993354
"Length bin 43-45",3,5.39150750713805
"Length bin 45-47",3,5.03355340526541
"Length bin 47-49",3,4.58406495184484
"Length bin >49",3,15.8416650313366
"Length bin <7",4,0.0174668085879904
"Length bin 7-9",4,0.170215392220929
"Length bin 9-11",4,0.672815997640987
"Length bin 11-13",4,1.07902947677839
"Length bin 13-15",4,0.861030486314162
"Length bin 15-17",4,0.771861133282658
"Length bin 17-19",4,1.28857016595897
"Length bin 19-21",4,2.09604450486767
"Length bin 21-23",4,2.83891305307798
"Length bin 23-25",4,3.39361772280288
"Length bin 25-27",4,3.88182556562686
"Length bin 27-29",4,4.44531269042196
"Length bin 29-31",4,5.04216385450937
"Length bin 31-33",4,5.51188726710864
"Length bin 33-35",4,5.75394786278604
"Length bin 35-37",4,5.78678337087745
"Length bin 37-39",4,5.68213975408811
"Length bin 39-41",4,5.49327841790654
"Length bin 41-43",4,5.23889069587474
"Length bin 43-45",4,4.92304491455492
"Length bin 45-47",4,4.55325148051083
"Length bin 47-49",4,4.14321679946601
"Length bin >49",4,14.9692188511778
"Length bin <7",5,0.011373649439361
"Length bin 7-9",5,0.110840683494431
"Length bin 9-11",5,0.441297283410289
"Length bin 11-13",5,0.731728381839727
"Length bin 13-15",5,0.685165539913488
"Length bin 15-17",5,0.849990413965623
"Length bin 17-19",5,1.54810079340956
"Length bin 19-21",5,2.46503955120138
"Length bin 21-23",5,3.18774194759823
"Length bin 23-25",5,3.56566351544444
"Length bin 25-27",5,3.80709491011014
"Length bin 27-29",5,4.1960003285434
"Length bin 29-31",5,4.78670101188228
"Length bin 31-33",5,5.42730586301922
"Length bin 33-35",5,5.95881690104574
"Length bin 35-37",5,6.31399971278253
"Length bin 37-39",5,6.4870022195971
"Length bin 39-41",5,6.48363158080706
"Length bin 41-43",5,6.31002262182333
"Length bin 43-45",5,5.98378897126324
"Length bin 45-47",5,5.5388976335484
"Length bin 47-49",5,5.01765608037091
"Length bin >49",5,17.8365356254263
"Length bin <7",6,0.0188394988026071
"Length bin 7-9",6,0.183589955095187
"Length bin 9-11",6,0.724099365217973
"Length bin 11-13",6,1.14928556990694
"Length bin 13-15",6,0.866316594889345
"Length bin 15-17",6,0.657354589941036
"Length bin 17-19",6,1.02805510082041
"Length bin 19-21",6,1.68745595861171
"Length bin 21-23",6,2.33895833697617
"Length bin 23-25",6,2.89039388088117
"Length bin 25-27",6,3.43153300032007
"Length bin 27-29",6,4.05675987905889
"Length bin 29-31",6,4.7178688597507
"Length bin 31-33",6,5.28614389435241
"Length bin 33-35",6,5.6918109382218
"Length bin 35-37",6,5.95770164964726
"Length bin 37-39",6,6.13280520559457
"Length bin 39-41",6,6.23090091514363
"Length bin 41-43",6,6.22687355158225
"Length bin 43-45",6,6.0886621748024
"Length bin 45-47",6,5.80471753674971
"Length bin 47-49",6,5.39024369344098
"Length bin >49",6,19.7554274235773
"Length bin <7",7,0.0260279416873363
"Length bin 7-9",7,0.253694359778044
"Length bin 9-11",7,1.0001925531963
"Length bin 11-13",7,1.58400972818013
"Length bin 13-15",7,1.1774595590154
"Length bin 15-17",7,0.842509096569276
"Length bin 17-19",7,1.24153429389497
"Length bin 19-21",7,1.91951112267944
"Length bin 21-23",7,2.41472499995713
"Length bin 23-25",7,2.5848026214229
"Length bin 25-27",7,2.61312829096491
"Length bin 27-29",7,2.7651014364353
